name,address,gender,furnished,parking_area,kitchen_room,wifi,guest_room,laundry,rooftop,description,room_index,room_name,room_size,room_info,room_facilities,room_price
Rulli House Dipatiukur Bandung,"Jl. Sukasari, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat",Kost Campur,Fully Furnished,No,No,Yes,No,No,No,"Nggak perlu panik cari kost dekat kampus lagi kalau kuliah di Bandung. Cek Rulli House Dipatiukur Bandung yang strategis ke kampus ternama di Bandung.Universitas Padjajaran (UNPAD) Dipatiukur hanya 2 menit berkendara, sementara mencapai ITB berjarak 6 menit dari kost di Bandung ini. Mahasiswa Universitas Komputer Indonesia (UNIKOM) bisa mencapai kampus sekitar 4 menit berkendara atau 12 menit berjalan kaki.Cari makan juga nggak akan bingung karena banyak pilihan kaki lima hingga resto kekinian. Ada Bubur Mang Engkus, Ayam Pedho Sukasari, McDonald’s Simpang Dago, hingga Toko You yang legendaris berjarak nggak sampai 10 menit berkendara.Rulli House Dipatiukur Bandung punya kamar berfurnitur lengkap dengan kamar mandi dalam, serta fasilitas dapur bersama, parkir motor, hingga laundry. Kamu tinggal bawa koper berisi pakaian saja kalau pindah ke kost Dipatiukur Bandung ini.Yuk, booking kamarmu sekarang untuk ngekost #SenyamanDiRumah!Cari kost lain di Bandung.",3,Regular Single B,"Luas kamar: 10,60m2","1 Tempat tidur (90x200) 1 orang, Termasuk listrik, Jendela kearah luar, 1 Kamar mandi, Kamar mandi dalam, Shower, Wastafel","Kursi, Lemari, Meja, Sprei, TV",Rp 1.500.000/bulan
Rulli House Dipatiukur Bandung,"Jl. Sukasari, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat",Kost Campur,Fully Furnished,No,No,Yes,No,No,No,"Nggak perlu panik cari kost dekat kampus lagi kalau kuliah di Bandung. Cek Rulli House Dipatiukur Bandung yang strategis ke kampus ternama di Bandung.Universitas Padjajaran (UNPAD) Dipatiukur hanya 2 menit berkendara, sementara mencapai ITB berjarak 6 menit dari kost di Bandung ini. Mahasiswa Universitas Komputer Indonesia (UNIKOM) bisa mencapai kampus sekitar 4 menit berkendara atau 12 menit berjalan kaki.Cari makan juga nggak akan bingung karena banyak pilihan kaki lima hingga resto kekinian. Ada Bubur Mang Engkus, Ayam Pedho Sukasari, McDonald’s Simpang Dago, hingga Toko You yang legendaris berjarak nggak sampai 10 menit berkendara.Rulli House Dipatiukur Bandung punya kamar berfurnitur lengkap dengan kamar mandi dalam, serta fasilitas dapur bersama, parkir motor, hingga laundry. Kamu tinggal bawa koper berisi pakaian saja kalau pindah ke kost Dipatiukur Bandung ini.Yuk, booking kamarmu sekarang untuk ngekost #SenyamanDiRumah!Cari kost lain di Bandung.",4,Compact Single C,"Luas kamar: 8,40m2","1 Tempat tidur (90x200) 1 orang, Termasuk listrik, 1 Kamar mandi, Kamar mandi dalam, Shower, Wastafel, Pemanas air","Kursi, Lemari, Meja, Sprei, TV",Rp 1.775.000/bulan
Kost Graha Setiabudi Bandung,"Jl. Dr. Setiabudi No.80A, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40141",Kost Campur,Not Fully Furnished,No,Yes,No,No,No,No,Kost exclusive di tengah kota Bandung,0,Superior,"Luas kamar: 13,5m2","1 Tempat tidur (90x200) 1 orang, Tidak termasuk listrik, Jendela kearah luar, Kamar mandi dalam, Shower, Wastafel, Pemanas air","AC, Kursi, Lemari, Meja",Rp 2.500.000/bulan
Kost Graha Setiabudi Bandung,"Jl. Dr. Setiabudi No.80A, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40141",Kost Campur,Not Fully Furnished,No,Yes,No,No,No,No,Kost exclusive di tengah kota Bandung,1,Suite,"Luas kamar: 22,5m2","1 Tempat tidur (160x200) 2 orang, Tidak termasuk listrik, Jendela kearah luar, Kamar mandi dalam, Shower, Wastafel, Pemanas air","AC, Kursi, Lemari, Meja",Rp 3.500.000/bulan
Kost Purabaya Residence Cicendo Bandung,"Jl. Purabaya No.31/66, Arjuna, Kec. Cicendo, Kota Bandung, Jawa Barat 40172",Kost Campur,Not Fully Furnished,No,Yes,No,No,No,No,,0,Suite,Luas kamar: 15m2,"1 Tempat tidur (160x200) 2 orang, Termasuk listrik, Jendela kearah luar, Kamar mandi dalam, Shower, Wastafel, Pemanas air","AC, Kursi, Lemari, Meja",Rp 2.700.000/bulan
Kost Purabaya Residence Cicendo Bandung,"Jl. Purabaya No.31/66, Arjuna, Kec. Cicendo, Kota Bandung, Jawa Barat 40172",Kost Campur,Not Fully Furnished,No,Yes,No,No,No,No,,1,Jr. Suite,Luas kamar: 12m2,"1 Tempat tidur (160x200) 2 orang, Tidak termasuk listrik, Jendela kearah luar, Kamar mandi dalam, Shower, Wastafel, Pemanas air","AC, Kursi, Lemari, Meja",Rp 2.500.000/bulan
Kost Purabaya Residence Cicendo Bandung,"Jl. Purabaya No.31/66, Arjuna, Kec. Cicendo, Kota Bandung, Jawa Barat 40172",Kost Campur,Not Fully Furnished,No,Yes,No,No,No,No,,2,Superior,Luas kamar: 12m2,"1 Tempat tidur (160x200) 2 orang, Tidak termasuk listrik, Jendela kearah luar, Kamar mandi dalam, Shower, Wastafel, Pemanas air","AC, Kursi, Lemari, Meja",Rp 2.300.000/bulan
Rumah Kost Blessing Coblong Bandung,"Jl. Cihampelas 186 kav. 14 RT.04 Rw.05. Kel.Cipaganti. Kec. Coblong, Bandung, Jawabarat 40131",Kost Campur,Not Fully Furnished,No,Yes,Yes,No,No,No,"TERIMA KOST.Terima Kost di Pusat Wisata Cihampelas Bandung. Ada 4 kamar dalam 1 Lantai.Bisa disewa Harian, Mingguan, Bulanan, Tahunan. Bila Disewa sekaligus 4 kamar dalam 1 lantai bisa dipakai untuk satu keluarga.Selling point:Dekat dengan kampus STBA, NASA, SMA PASUNDAN 8, Wisata Belanja Cihampelas, CIWALK, Rumah Sakit Advent, SKYWALK, Minimarket, dikelilingi oleh Hotel Berbintang: Sensa Hotel, Aston Tropicana Hotel, Fave Hotel, Amaris Hotel dll.",0,Single Room,Luas kamar: 9m2,"1 Tempat tidur (90x200) 1 orang, Tidak termasuk listrik, Kamar mandi luar","Kipas angin, Kursi, Meja",Rp 1.200.000/bulan
Kost Pontek Coblong Bandung,"Jl. Cisitu Lama VIII No.I A, Dago, Coblong, Bandung City, West Java 40135",Kost Putra,Not Fully Furnished,No,Yes,No,No,No,No,,0,Superior,Luas kamar: 14m2,"1 Tempat tidur (100x200) 1 orang, Tidak termasuk listrik, Jendela kearah luar, Kamar mandi dalam, Shower, Wastafel, Pemanas air","AC, Kursi, Lemari, Meja",Rp 1.800.000/bulan
Kost Pontek Coblong Bandung,"Jl. Cisitu Lama VIII No.I A, Dago, Coblong, Bandung City, West Java 40135",Kost Putra,Not Fully Furnished,No,Yes,No,No,No,No,,1,Jr Suite,Luas kamar: 16m2,"1 Tempat tidur (100x200) 1 orang, Tidak termasuk listrik, Kamar mandi dalam, Shower, Wastafel, Pemanas air","Kursi, Lemari, Meja",Rp 2.000.000/bulan
Vgh 2 Antapani Bandung,"Jl. Cikampek XV No.28, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat 40291",Kost Putri,Not Fully Furnished,No,Yes,No,No,No,No,Kost 3 lantai terletak di jalan cikampek xv no 28 dengan 17 kamar full furnish dan fasilitas bersama yg lengkap,0,Standard,Luas kamar: 12m2,"1 Tempat tidur (100x200) 1 orang, Tidak termasuk listrik, Jendela kearah luar, Kamar mandi dalam, Shower, Pemanas air","AC, Kursi, Lemari, Meja, TV",Rp 990.000/bulan
Bahagia House 34A Pasteur Bandung,"Jl. Bahagia No.59, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat",Kost Campur,Not Fully Furnished,No,Yes,Yes,No,No,No,"Kamu mahasiswa ITB, Universitas Kristen Maranatha, atau Universitas Pendidikan Indonesia? Pastinya cocok tinggal di Bahagia House 34A Pasteur Bandung. Kost coliving di Bandung ini jaraknya kurang dari 15 menit menuju kampusmu!Strategis juga ke gedung perkantoran di Jalan Cihampelas atau arah Dago Atas yang butuh waktu tempuh paling lama 13 menit berkendara. Ada tugas luar kota pun kamu nggak repot karena hanya 11 menit ke Stasiun Bandung, sementara Bandara Husein Sastranegara bisa dicapai dalam 24 menit berkendara dari kost Bandung ini.Kost di Pasteur Bandung ini dikelilingi oleh banyak resto dan kafe. Sebut saja Persegi Coffee, Trouit, atau Mie Gacoan Paskal. Butuh belanja bulanan? Sekitar 6 menit berkendara kamu sudah sampai di Cihampelas Walk atau Mall PVJ Bandung.Kamar di Bahagia House 34A Pasteur Bandung sudah berfurnitur lengkap dengan kamar mandi dalam, AC, dan Wi-Fi. Tersedia pula ruang makan, dapur bersama, area komunal, hingga rooftop untuk bersosialiasi dengan sesama penghuni.Bawa kendaraan sendiri? Kost di Pasteur Bandung ini dilengkapi area parkir dan CCTV. Komplet! Saatnya booking kamar pilihanmu agar nggak kehabisan, sekarang!Cari kost lain di Bandung.",0,Regular Single A,Luas kamar: 11m2,"1 Tempat tidur (100x200) 1 orang, Tidak termasuk listrik, Jendela kearah luar, Kamar mandi dalam, Shower, Wastafel, Pemanas air","AC, Kursi, Lemari, Meja",Rp 2.300.000/bulan
Bahagia House 34A Pasteur Bandung,"Jl. Bahagia No.59, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat",Kost Campur,Not Fully Furnished,No,Yes,Yes,No,No,No,"Kamu mahasiswa ITB, Universitas Kristen Maranatha, atau Universitas Pendidikan Indonesia? Pastinya cocok tinggal di Bahagia House 34A Pasteur Bandung. Kost coliving di Bandung ini jaraknya kurang dari 15 menit menuju kampusmu!Strategis juga ke gedung perkantoran di Jalan Cihampelas atau arah Dago Atas yang butuh waktu tempuh paling lama 13 menit berkendara. Ada tugas luar kota pun kamu nggak repot karena hanya 11 menit ke Stasiun Bandung, sementara Bandara Husein Sastranegara bisa dicapai dalam 24 menit berkendara dari kost Bandung ini.Kost di Pasteur Bandung ini dikelilingi oleh banyak resto dan kafe. Sebut saja Persegi Coffee, Trouit, atau Mie Gacoan Paskal. Butuh belanja bulanan? Sekitar 6 menit berkendara kamu sudah sampai di Cihampelas Walk atau Mall PVJ Bandung.Kamar di Bahagia House 34A Pasteur Bandung sudah berfurnitur lengkap dengan kamar mandi dalam, AC, dan Wi-Fi. Tersedia pula ruang makan, dapur bersama, area komunal, hingga rooftop untuk bersosialiasi dengan sesama penghuni.Bawa kendaraan sendiri? Kost di Pasteur Bandung ini dilengkapi area parkir dan CCTV. Komplet! Saatnya booking kamar pilihanmu agar nggak kehabisan, sekarang!Cari kost lain di Bandung.",1,Compact Single A,Luas kamar: 9m2,"1 Tempat tidur (100x200) 1 orang, Tidak termasuk listrik, Jendela kearah luar, Kamar mandi dalam, Shower, Wastafel, Pemanas air","AC, Kursi, Lemari, Meja",Rp 2.400.000/bulan
