food_id,creator_id,food_name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,carbohydrate,fiber,sugar,sodium
183768,137838,LENTIL AND COUSCOUS SALAD,237,214.5,11,1.5,0,5.4,24,3.6,1.2,10.9
455488,1072593,MEDITERRANEAN HUMMUS APPETIZER,138,317.1,20.3,2.8,0,7.5,28.6,5.9,0.3,618.5
82509,37636,MEDITERRANEAN LENTIL SOUP WITH SPINACH,143,184.1,0.9,0.2,0,11.6,34.3,13.4,4.2,65.6
182935,189280,MEDITERRANEAN SHRIMP WITH GARLIC CHIPS,136,147.3,8,1.1,142.9,15.7,3,0.5,0.4,642.7
244722,463858,COD WITH MEDITERRANEAN SALSA,151,133.4,4.3,0.6,48.9,20.7,2.4,0.6,0.5,208.8
220025,463858,MEDITERRANEAN CHICKEN SALAD,246,500.3,27.9,4.8,78.8,31.7,31.9,4.5,9.9,241.1
131972,131126,MEDITERRANEAN TUNA STUFFED TOMATO,283,299.4,16.7,3.7,44.8,27.9,10.4,3.2,5.1,567.3
323422,464080,MEDITERRANEAN CORN SALAD,109,155.7,5.8,2.6,13.4,6.1,21.4,3.6,0.7,680.5
221237,171790,MEDITERRANEAN SALAD,230,499.1,21.2,2.8,0,13.9,64.9,12.7,2.5,862.1
8892,8975,MEDITERRANEAN SPINACH,132,72,2.9,1.7,9.5,6.2,8.1,3.9,2.1,298.5
317056,719083,MEDITERRANEAN DIP DUO,174,413.6,34.4,14.5,53.1,11.5,18,5,3.2,846.1
179813,338124,MEDITERRANEAN EDAMAME SALAD,195,422.1,30.8,5.2,8.3,19.6,22.4,7.5,4.4,437.1
7968,148316,MEDITERRANEAN WHITE BEAN SOUP,362,342.4,4.2,0.7,0,19.1,59.5,13.6,3.1,28.1
243354,481092,MEDITERRANEAN SALAD WITH LEMON CAPER VINAIGRETTE,158,334.7,33.1,6.8,16.7,3.7,8,1.7,2.2,472.9
84978,27678,MEDITERRANEAN SALAD,381,818.8,45,6.3,0,20.3,94.4,35.9,9,762.8
290384,463435,MEDITERRANEAN FRITTATA,184,288.5,22.8,7.7,301.8,15.3,5.6,1.2,3.4,656.5
304676,725350,MEDITERRANEAN MAHI MAHI WITH OLIVE AND SHALLOT TAPENADE,229,468.5,35.1,5,124.2,32.6,5.7,0.9,0.2,589.5
214004,296027,MEDITERRANEAN FETA DIP,108,122.6,9.8,4.1,21.2,5,5.1,1,2.7,319.5
538870,2001004241,EASY FALAFEL,110,546.7,55.2,4.1,0,2.7,12.7,2.4,0.1,571.9
70005,42651,""" SUN-DRIED "" TOMATOES",13,0.1,0,0,0,0,0,0,0,0
