post_id,food_id,user_id,content,likes,type
1,131988,900992,"The 3-star rating if for the recipe as is. After the following changes, we would rate it 5 stars. <br/>We roasted the red pepper and removed the skin. However, we found the flavor of the kalamata olives to be very overpowering. To fix this, we added an extra half of a red pepper (raw, not roasted), 2 tablespoons of plain yogurt, 1 extra tablespoon of lemon juice, 1 extra tablespoon of tahini, and 1 extra tablespoon of parsley. It was fine after these additions... and this resulted in more hummus :-)",0,review
2,131988,292841,"Oh my word, thank you for this absolutely fabulous recipe! I thought it was the best hummus I have ever had the pleasure to have tasted. And I made it!<br/>The only thing I did to change it was pour boiling water on my chick peas a couple of times, stir it around a bit to get the skin like covering off the peas. The skin coverings float to the top. <br/>It may take a wee bit more time, but it allows for a more creamier hummus. Again, thank you!",0,review
3,131988,402698,"I made it for myself and a couple of moms I had over for lunch. It was sooo delicious. I like the spiciness...just right!",0,review
4,131988,312679,"OOOH My goodness this is so so yummy! Try this! My friend loved it too!! I also love #117045, #35625, and #11424.",0,review
5,131988,89831,"this hummus is SOOOOOOOO good! I have been wanting to try this recipe for quite sometime and I'm so glad I finally got to making it, it's just delicious! I increased the garlic and added in lots black pepper, I can't wait to make this again, thanks for sharing this great hummus recipe hon!...Kitten :)",0,review
1,299973,444132,"So simple, so delicious, so fresh - this is perfect for such a beautiful sunny spring day! I added some fresh ground pepper, used pearl boccocini for the mozzerella, and vidalia onion for my sweet onion. I love it! Thanks for posting, Brooke! Made for Zaar Stars Tag.",1,review
2,299973,494084,"THis was easy, healthy and good! THe flavor was missing something for me (that I can't quite put my finer on) but since it was so easy and good for you I'll probably make it again. Thanks so much Brooke!!",1,review
3,299973,191533,"I was actually surprised at how much my husband ate of this. He's not big on vinegar. I did think it was lacking flavor so I added sugar, salt, and garlic powder. (didn't use fresh garlic)",0,review
4,299973,604906,"Had some chickpeas I cooked myself and this looked like a good recipe to try. I made it twice, added a lot more balsamic vinegar because it didn't have enough flavor for me. Also left out the cheese the second time, it was just as good.",0,review
5,299973,169430,"This was a most enjoyable salad. With the cheese this could easily be a full meal on it's own but it was great with grilled chicken. A wonderful balance of flavors.",0,review
6,299973,13593,"I do not hesitate to rate this recipe with five stars. This is so easy, refreshing, and healthy. I followed the directions as written, but did use yellow onion and Kosher salt instead of sweet onion and sea salt. I don't think it really changed the recipe. This is a nice cooling recipe that is great for summer and lunch boxes. Thank you for sharing.",0,tweak
7,299973,691407,"I took this salad to a backyard BBQ this weekend as my side dish. It was served with burgers, brats, ribs, hot dogs, etc. The crowd loved it and finished it off. Very easy to make, literally chop everything and throw it into one bowl. I used feta cheese instead of mozzarella, and waited to add it until right before it was served. I also used table salt instead of sea salt, tasted great!!",0,tweak
8,299973,216999,"Easy to prepare and delicious, this one is a keeper! I left out the parsley and basil and we do not care for them, and used fresh goat-milk feta instead of the mozzarella. Made for the Dining Daredevils for ZWT5.",0,tweak
9,299973,197023,"A wonderfully delicious - and SO healthy - summer salad. I made this exactly to the recipe - except for using chives instead of the sweet onion and doubling the garlic (a matter of availability and personal taste preferences) and served it on a bed of baby spinach leaves. I'll be making this again during the summer months. Thank you for sharing another fabulous recipe, Brooke!",0,tweak
10,299973,89831,"very good although it needed a few amount adjustments and fresh ground black pepper, I used green onions in place of the sweet onion as I have a huge crop in my garden, thanks for sharing Brooke!",0,tweak
1,304166,2001556398,"I have a couple of quick questions I have never really dealt with english cucumbers. I've read about the differences. Can you use plain cucumbers instead? Does it significantly alter the taste of the sauce?",0,question
2,304166,2000898883,"Love this recipe for an easy tzatziki. I don�t salt my cucumber, instead I grate and squeeze them in a dish towel to remove all the liquid. Have never had an issue with watery leftovers. I don�t use a blender, instead I just mix everything in one bowl. And refidgerate for a while. Easy to adjust this to taste.",6,review
3,304166,2001160057,"I worked for a Greek/Lebanese restaurant, and we would make this with sour cream instead of yogurt. Really tasty!",5,review
4,304166,2001067738,"For 14+ years I lived in Tarpon Springs, FL which has a very large population of Greeks. So, I've had real, authentic Greek-style food and my favorite was their gyros. I LOVED those gyros which, of course, are served with tzaztiki sauce. This recipe is amazing! I made it exactly as the recipe stated and it was so good I'm making more for dipping veggies for our Fourth of July party this weekend! I did use an English cucumber because of its mild flavor (I don't like cucumbers) but I changed NOTHING in this recipe because it was perfect! Thank you so much for such a delicious recipe!",3,review
5,304166,2002225290,"Made the recipe here's what I'd change. Use 1 container full fat Greek yogurt as is don't bother with squeezing. Peel, seed and finely grate 3 cucumbers. Squeeze out liquid from cukes. Using a garlic press take around 10 garlic cloves to start press add more to your preference. Juice of 1 lemon 2 tablespoons each finely chopped mint and dill salt white pepper mix in bowl all ingredients omit blender",2,review
6,304166,2001650017,"I wanted a garlicy tzatziki so I had to add 11 cloves of garlic. Great recipe! Edit: Tried it an hour later and it was too spicy. Probably should stick to 5-6 cloves",2,review
7,304166,2000165997,"Don�t Salt the cucumber. Made this recipe per directions. Way too watery and way too salty. Grate the cucumber and squeeze in a towel to get the water out. Unless you�re feeding an army make 1/3 or 1/4 recipe. Don�t process the cucumber - just the other seasonings.",1,tweak
8,304166,2895155,"This was an okay sauce. I've made other versions of tzatziki sauce that I liked better. This one came out a little thinner than I would have liked. I think it's because the recipe has you blend the cucumber and spices before adding to the yogurt. In previous recipes I've tried, you just dice the cucumber and add the seasonings to the yogurt instead of blending it all up to make a puree. I probably won't be making this recipe again.",1,tweak
1,536714,505731,"The last ingredient for the tabbouleh is listed as "" 1 other seeds or nuts"". What measurement is this ""1"" referring to? One Tablespoon, One Cup, ??",0,question
1,39195,58104,"I just love this! I also put raisins(golden) in along with the capers.",6,review
2,39195,2003001761,"This is a delicious dish, however your recipe is not in the traditional way. This is a Sicilian dish and we don't use peppers, nor balsamic vinegrette or brown sugar. The authentic way is to use cut whole tomatoes, ONLY Green olives, not the pimentos, red wine vinegar and white sugar to taste. This is a sweet/sour dish. Room temperature over a nice crusted bread or toasted crusted bread is ideal. This is a rustic dish and no pre-manufactured products are needed (puree & balsamic vinegrette)",4,review
3,39195,10033,"I have now made this several times. This is an excellent and versatile recipe--I even froze a bunch of it and have reheated it to serve with pasta or as relish for a main dish. I did leave the skin on the eggplant for color and fiber. I also added a bit of white wine. thanks for posting!",2,review
4,39195,2001112113,"Such a delicious recipe! I made it just as directed and it turned out great. Perfect as a side or a light summer meal with some crusty bread on the side.",1,review
5,39195,37779,"This caponata was excellent. Very fresh tasting and had lively flavors. I skinned the eggplant because I don't like the toughness the skin sometimes has. Skipped the anchovies, although next time, I might get brave and try them. I served this on lightly toasted sliced baguette. Made a perfect light supper with a chilled bottle of white wine. Thanks 1Steve.",1,review
6,39195,2002180508,"chiffinade is strips, not finely chopped..like ribbons",2,tweak
1,382432,573325,"WOW, absolutely DELICIOUS!!!! Debbie I have eaten quite a number of bulgur salads (always using millet in place of the bulgur), but this one really is one of the best! The flavours mingle perfectly and the dill and feta combined with the tomatoes and spinach are just super yummy! :) I used your recipe #415662 in place of the bulgur and it was very nice. Added a slightly nutty flavour to the salad. I will most definitely make this again as everyone just raved about it! THANKS SO MUCH for sharing this surpreme recipe here with us! Made and reviewed for my chosen chef in Veggie Swap #21 April 2010.",2,review
2,382432,440735,"Wow! This was delicious. I was worried when I saw the amount of bulgar in the bowl soaking. I had to ""nuke"" the bulgur because after 40 minutes it was still crunchy. I reduced the dill to one tablespoon because dill is overpowering. I would add a1 tablespoon and a half next time. This salad was surprisingly Fantastic. I only added 3 ounces of Feta because that is what I had on hand. I did add the tomatoes which is a MUST in my opinion. It was so good. Did I say this was good?",0,review
3,382432,42413,"This was fantastic! My only regret was that I couldn't get fresh dill (I did use some dill weed though), as I am sure that would have put it into a whole other dimension. Having said that, I loved this recipe! I will definitely be making this for the next gathering I attend. Thanks for posting!",0,review
4,382432,358796,"I made this recipe but tweaked the amounts on ingredients. Only used 2 Tablespoons fresh dill and that was plenty. 1/3 cup would be too much for us. Overall it was good, but can't give stars since I changed the amounts so much from the original recipe.",0,review
5,382432,869184,"I cannot believe how delicious this salad is! The dill really makes the salad. Do NOT omit the dill when making this salad. I added a bit of lemon juice to the Bulgar wheat before platting, otherwise made as stated. Made for PRMR Tag.",0,review
6,382432,2002912073,"Red onion, bell peppers, and white cheddar instead of green onion, dill, and feta. Also cooked bulgur according to packaging. It was delicious!",0,tweak
1,111865,2001112113,"I love this recipe! The little salad on top of the avocados is SO flavorful. It goes perfectly with the butteriness of the avocados. It's a great simple and healthy weeknight meal, or perfect as a side dish! Can't wait to make again.",3,review
2,111865,503845,"The second time I made this I cheated and bought precut mixture of tomato, onion and jalapeno. Turned out great in half the time. I love bruschetta so this is my new go to item. Also used basil instead of oregano as I love basil.",1,review
3,111865,942456,"So good! We eat lots of avocados here in So. Cal. I see this recipe being used often. I did use cilantro but besides that followed the recipe as written. Can't wait to try it with balsamic vinegar next time.",1,review
4,111865,400708,"Made these as my contribution to a bar-b-q and they were a big hit. So simple, tasty and looked elegant. I was so pleased. Made exactly as directed except forgot to add the feta cheese. Bought it and all, just plain forgot. It was still awesome and I'll be making it again. May try balsamic vinager next time as I love the taste. Thanks for posting a wonderful recipe.",1,review
5,111865,543977,"I also added a few olives - and used white wine vinegar instead of red since I didn't have any - I will definitely be making this again",0,review
6,111865,503845,"The second time I made this I cheated and bought precut mixture of tomato, onion and jalapeno. Turned out great in half the time. I love bruschetta so this is my new go to item. Also used basil instead of oregano as I love basil.",0,tweak
7,111865,579298,"Yum!! I even got my little brother (11) to eat this healthy treat :) I subbed red wine vinegar for balsamic. Delicious!",0,tweak
1,220089,2001935726,"I may have missed it, but is there a list of the nutritional information (including calorie count)?",0,question
2,220089,829331,"So i got excited that i had all the ingredients on hand for a change and prepped this without realizing the crockpot part. ha! So for those without one also, here is a useful tip I found.... ""A recipe needing 4-6 hours on HIGH in the crock will need about 90 minutes+ in the oven.""",12,review
3,220089,39835,"Very good dinner - I cooked it on low all day and added the beans and cilantro after I came home from work. Very easy to make on a busy day! Thanks for sharing!",2,review
4,220089,541842,"really delicious and healthy, makes you feel good all the way around :)",1,review
5,220089,388248,"This was great! My husband, a little picky, liked it as is, but did suggest that a little lemon juice might be good. A definite winner in my house!",1,review
6,220089,579298,"This was AMAZING! I'm not on WW or Core but thought we could use a little more veggies in our diet. I never was a fan of sweet potatoes or cooked carrots before but this dish changed my mind! I simply couldn't get enough :) the only change I made was subbing the turmeric for saffron. I served this with olive oil and garlic couscous. YUM!",1,review
1,316925,2000798550,"I am sorry, but this is horrible! First, I should have been instructed to peal the eggplant. Second, 15 minutes, and my eggplant was basically still raw. I threw out all the leftovers, including what would have been my husband�s dinner, as he does not get home until about 9:15. There was no way I was going to serve him this after a hard days work! I really wanted to love this, but following the instructions ver batim, yielded me no dinner for me, or, my husband. I could think of ways to improve this, but seriously, I am still too hungry after no dinner, to even think about it.",1,review
2,316925,913360,"Even my husband liked this recipe and he usually doesn't get excited over vegetarian meals. I added extra tomatoes and capers; additionally, my mother made this without salting the eggplant (high blood pressure) and it was also very yummy. I served over brown rice and added a bit of asiago at the table. Don't skip the parsley (sometimes I find parsley is not necessary, I really think in this recipe it is).",1,review
3,316925,1038619,"This was delicious. I served it over a bowl of polenta, and it was the ultimate comfort-food meal. I'll be making this again and often.",0,review
4,316925,704950,"So delicious!!!!!! Ragouts are some of my favorite dishes, they have such depth of flavor and the veggies are usually the stars!!! I added a few things to enhance it even further for myself and for fun!!! First, I salted and removed the bitterness of the eggplant then roasted it using recipe # 357852 , recipe#357852,,that I really love the method and flavor of. This really sent the flavor of the eggplant into the stratosphere and lessened the time it needed to be in the skillet. I used fire-roasted tomatoes, threw in some chopped black olives and in place of parsley, I used arugula. This recipe is wonderful, it has great flavor, balance and you can tweak it with a few different veggies here and there that won't change the delicious outcome!!! Thanks so much for the recipe!!!",0,review
5,316925,597999,"I was going to post this and here it is. This is wonderful. Only change I made was I added crushed red peppers to the onions which spiced it up. We had it over rigatoni. It's good on it's own, but I would add a small can of tomato sacue if using over pasta. This is a keeper!",0,review
1,280466,552613,"We are big fans of barley soups and this is a very good barley soup. It was very filling and warming which was perfect for a cold almost summer's night in London. The only changes I made were to go for the vegetable stock because it was what I had and to skip the oil and use a cooking spray instead to lower the fat of the soup to next to nothing. Made for ZWT4.",5,review
2,280466,137302,"This is a pretty good soup. The only thing I added was about a half pound of cooked lean ground beef and some kitchen bouquet for a more brown color. The only thing I wasn't real fond of was that it did have a bit of an acidic taste to it that I kept trying to correct...I wondered if it had a potato or two in it if the flavors would have been blended more. Made for ZWT #6 - 2010",4,review
3,280466,1298125,"Very good basic barley tomato soup. I make it regularly. I often add more tomatos, barley or peppers, kale, spinach, chicken, beef,whatever moves me.I regularly change up the spicing, adding oregano, basil, sage, whatever I grab out of the spice cupboard.This recipe never fails me, whatever I add or delete it always turns out.",3,review
4,280466,401767,"Very good recipe just as it is, and also lends itself well to using up other orphaned produce in the fridge, or odds and ends in the freezer, cupboard or pantry. It's hearty, warming, and inviting, and has a greatly satisfying texture and consistency. Last night, I'd added some diced red & green bell peppers and finely chopped baby spinach. If sodium isn't an issue for someone, a bouillon cube adds a flavor boost, as does 1/2 tsp. of crushed Italian seasoning. It's tasty with Middle Eastern spices added or great with curry powder or curry paste added for a more exotic faux Mulligatawny variation. Your favorite salsa, picante sauce, a small can of green chilies, or Southwest-style diced tomatoes can change it up easily for a different twist on it, with a handful of crushed tortilla chips or even a few Fritos also tossed into it. Wonderful way to use up any leftover roasted or rotisserie chicken too. Beans, lentils, and peas work great in it also, and when I'm feeling particularly decadent, I quarter 2 hotdog-sized Polska kielbasa sausage links length-wise, and then dice the quarters into small pieces, to give it a hint of rich sausage flavor. Diced leftover Italian sausage or meatballs work well in it, also. It's hard to go wrong with this soup, since the recipe is both so good and also extremely versatile, so it can be made often and enjoyed in a variety of ways.",2,review
5,280466,2000820349,"Thank you for posting this! I was looking for inspiration on how to use up my barley and get my kids to like it in the process. I couldn't follow the recipe to a t, as i was almost out of celery, but it still turned out very well. I think this is a great basic recipe that can me adapted any way you like. Two of my kids did not like it (they are picky eaters, judging food before even tasting it, drives me crazy sometimes). But both my oldest and my husband asked me to make this again. And best of all: my almost 15 month old daughter, who is 99% breastfed because she refuses most food, gobbled this up! She has never before eaten like this and I might even get a good night's sleep out of that full tummy of hers! And thanks to two of her brothers not eating any, we have leftovers she can feast on tomorrow :-D",2,review
6,280466,2000431901,"Just needed some salt added. I also topped with fresh parsley.",1,tweak
